date,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
2014-03-01,6.34,3.68,11.355,50.7,8.0,0.0,0.0,2.1
2014-03-02,3.34,1.0,2.0,6.6,2.0,0.0,0.0,1.0
2014-03-03,4.0,3.68,1.6,22.1,1.0,2.0,0.0,2.2
2014-03-04,5.34,7.02,7.2,47.275,9.0,0.0,5.0,4.0
2014-03-05,3.34,1.0,3.0,25.0,4.0,0.0,1.0,0.0
2014-03-06,3.0,2.0,5.5,44.1,17.0,1.0,5.0,1.0
2014-03-07,4.0,4.34,9.5,25.0,3.0,1.0,0.0,2.0
2014-03-08,4.34,3.07,1.0,27.6,11.0,0.0,0.0,0.0
2014-03-09,1.0,0.0,4.0,11.3,3.0,0.0,5.0,0.0
2014-03-10,6.68,5.35,3.8,47.0,11.0,0.0,0.0,2.0
2014-03-11,6.0,5.7,7.0,30.4,12.0,1.0,1.0,5.0
2014-03-12,6.34,2.68,6.5,19.6,22.0,3.0,2.0,2.0
2014-03-13,2.31,4.36,5.3,15.5,10.0,0.0,26.0,2.0
2014-03-14,4.34,1.68,1.2,16.0,11.0,0.0,1.0,2.0
2014-03-15,4.0,2.0,11.0,23.3,18.0,1.0,6.0,2.0
2014-03-16,2.68,2.0,1.4,13.0,6.0,0.0,0.0,4.0
2014-03-17,8.68,3.34,7.0,37.0,6.0,1.0,0.0,1.0
2014-03-18,8.0,4.0,5.0,20.1,9.0,0.0,0.0,4.0
2014-03-19,4.0,3.02,4.0,21.8,2.0,0.0,0.0,2.0
2014-03-20,3.0,5.34,1.6,38.2,5.0,0.0,7.0,4.2
2014-03-21,6.0,3.68,4.5,40.0,4.0,0.0,2.0,1.0
2014-03-22,3.34,2.34,0.0,26.3,10.0,2.0,18.0,8.4
2014-03-23,6.34,2.0,4.0,19.4,0.0,1.0,0.0,3.0
2014-03-24,5.68,1.0,4.0,23.6,7.0,0.0,6.0,3.5
2014-03-25,4.0,1.34,9.0,38.6,7.0,0.0,1.0,1.0
2014-03-26,2.34,3.99,9.0,6.7,7.0,3.0,3.0,0.0
2014-03-27,4.0,0.33,2.0,20.7,6.0,1.0,1.0,5.0
2014-03-28,2.67,2.0,8.0,11.0,3.0,0.0,9.0,5.0
2014-03-29,4.0,6.33,4.2,24.0,8.0,2.0,9.0,3.0
2014-03-30,3.0,2.34,0.0,12.0,4.0,0.0,0.0,7.0
2014-03-31,5.34,2.34,4.0,15.4,6.0,1.0,4.0,6.0
