date,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name
2014-04-01,4.34,1.34,6.5,27.5,5.0,3.0,3.0,1.0,2014,4,276,Tuesday
2014-04-02,2.0,4.68,8.9,23.0,1.0,0.0,7.0,3.0,2014,4,276,Wednesday
2014-04-03,1.0,1.34,3.0,19.2,4.0,0.0,0.0,4.0,2014,4,276,Thursday
2014-04-04,3.0,3.67,3.0,24.0,9.0,3.0,8.0,2.0,2014,4,276,Friday
2014-04-05,2.0,7.68,10.0,25.6,5.0,0.0,5.0,3.0,2014,4,276,Saturday
2014-04-06,2.0,1.0,1.0,19.0,1.0,0.0,0.0,1.0,2014,4,276,Sunday
2014-04-07,6.34,6.0,6.5,31.5,4.0,0.0,0.0,1.0,2014,4,276,Monday
2014-04-08,4.34,2.34,1.7,19.0,6.0,1.0,0.0,4.7,2014,4,276,Tuesday
2014-04-09,6.0,1.02,1.0,18.0,2.0,1.0,2.0,2.6,2014,4,276,Wednesday
2014-04-10,3.33,1.68,1.0,18.0,10.0,0.0,4.0,4.0,2014,4,276,Thursday
2014-04-11,6.0,4.0,3.0,25.0,2.0,2.0,0.0,2.0,2014,4,276,Friday
2014-04-12,7.02,3.34,6.0,23.5,19.0,0.0,11.0,4.0,2014,4,276,Saturday
2014-04-13,3.0,2.0,2.0,6.0,3.0,0.0,5.0,2.0,2014,4,276,Sunday
2014-04-14,1.34,4.68,5.35,28.28,10.0,0.0,5.0,5.0,2014,4,276,Monday
2014-04-15,4.34,3.0,6.4,18.7,12.0,0.0,10.0,1.0,2014,4,276,Tuesday
2014-04-16,2.0,1.01,4.2,25.62,1.0,0.0,6.0,4.0,2014,4,276,Wednesday
2014-04-17,5.34,0.34,7.2,16.0,19.0,0.0,0.0,0.0,2014,4,276,Thursday
2014-04-18,7.0,7.0,8.0,23.3,10.0,1.0,0.0,5.0,2014,4,276,Friday
2014-04-19,7.34,3.35,4.0,22.3,7.0,0.0,3.0,5.0,2014,4,276,Saturday
2014-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4,276,Sunday
2014-04-21,1.34,1.68,2.1,13.5,8.0,0.0,0.0,1.0,2014,4,276,Monday
2014-04-22,5.34,7.165,3.3,32.0,8.0,1.0,0.0,1.0,2014,4,276,Tuesday
2014-04-23,6.34,2.34,3.0,24.9,8.0,1.0,2.0,1.0,2014,4,276,Wednesday
2014-04-24,2.0,2.0,1.1,26.0,6.0,0.0,6.0,2.0,2014,4,276,Thursday
2014-04-25,3.0,2.02,5.0,24.9,10.0,1.0,1.0,3.0,2014,4,276,Friday
2014-04-26,4.34,2.67,5.5,35.0,12.0,1.0,6.0,4.0,2014,4,276,Saturday
2014-04-27,4.0,2.34,2.0,26.2,2.0,0.0,1.0,1.0,2014,4,276,Sunday
2014-04-28,1.34,3.09,3.0,29.1,8.0,2.0,0.0,2.0,2014,4,276,Monday
2014-04-29,3.33,4.02,4.4,30.3,6.0,1.0,5.0,0.4,2014,4,276,Tuesday
2014-04-30,4.34,2.68,7.0,43.1,11.0,0.0,7.0,4.0,2014,4,276,Wednesday
